predict,output
7,7
26,2
0,0
2,10
1,1
0,0
10,3
25,25
8,8
7,7
15,15
7,6
10,10
0,0
7,7
22,17
0,0
1,1
9,8
20,20
4,4
11,11
19,19
5,5
21,4
0,0
6,7
5,5
1,4
14,14
6,6
26,26
6,3
7,3
0,0
20,5
0,0
14,14
10,4
13,13
4,4
4,4
5,5
3,2
11,11
15,15
0,0
4,4
15,15
26,25
3,3
18,18
3,3
15,15
20,20
3,10
12,12
10,10
13,13
25,2
0,0
17,17
2,3
25,25
0,0
15,15
9,9
10,10
9,11
4,4
24,24
9,9
0,0
6,6
18,18
25,25
7,7
20,7
15,15
3,5
1,1
13,13
20,7
15,15
11,26
1,1
4,4
7,13
3,22
1,10
18,18
10,10
0,26
13,13
5,4
15,15
8,8
3,3
18,18
0,0
8,8
26,1
10,10
0,0
0,0
2,2
10,4
11,10
7,7
24,0
25,25
14,26
9,9
20,20
3,3
2,2
0,0
7,7
11,12
5,5
2,2
13,17
15,15
3,4
9,3
9,9
15,15
7,7
18,18
14,14
1,1
18,18
6,7
10,10
0,0
0,4
15,15
15,15
6,6
4,4
4,5
1,1
0,0
17,17
15,15
0,0
0,0
4,4
24,10
17,17
11,11
25,24
2,2
4,10
9,9
10,2
19,19
3,10
18,10
0,0
10,10
13,13
25,25
17,17
1,1
18,18
3,22
10,10
1,15
3,13
3,3
26,26
5,3
7,7
3,3
15,15
3,9
18,18
0,0
0,0
20,20
22,22
10,10
3,3
19,19
6,22
10,22
5,5
12,3
7,7
18,18
15,15
18,18
7,6
0,0
17,17
4,0
0,0
0,0
18,18
1,1
15,15
6,6
4,22
20,18
6,7
15,15
10,10
18,18
13,0
15,15
1,1
25,25
23,15
15,15
0,0
4,4
3,11
10,10
25,25
4,4
25,7
24,2
3,3
15,15
1,1
15,15
5,0
18,18
10,10
11,10
15,15
7,13
4,13
4,4
0,0
4,4
0,0
18,18
9,9
18,4
24,24
15,15
0,0
26,26
9,0
0,0
22,10
7,6
26,26
17,17
10,10
18,18
4,22
0,0
3,11
11,11
0,0
25,25
8,8
18,18
1,1
18,18
3,18
26,22
13,0
20,22
18,18
3,3
4,3
0,3
4,18
0,0
4,4
10,0
0,3
6,7
20,20
3,3
0,20
17,13
4,4
5,4
22,5
7,7
7,7
22,0
25,25
0,0
22,10
25,24
9,9
25,24
4,4
17,17
2,2
10,10
10,3
25,25
3,19
26,26
4,18
12,1
2,2
18,18
4,20
6,26
13,0
3,3
15,15
3,10
6,6
0,21
3,25
11,11
1,1
20,20
5,25
22,22
13,0
18,18
22,9
17,17
4,4
3,3
5,5
15,15
1,1
6,7
17,7
1,1
17,0
3,1
10,10
4,0
10,10
0,10
1,1
9,22
7,7
0,0
26,26
10,9
14,14
18,18
1,1
0,18
20,20
7,7
0,0
5,5
18,18
1,10
20,20
20,25
13,13
2,2
0,26
25,25
10,3
0,0
10,10
6,6
0,0
1,1
26,3
3,3
1,1
17,17
6,7
24,24
15,15
3,3
0,0
8,20
15,15
26,13
4,20
15,15
4,3
11,22
7,7
10,25
0,0
10,10
3,3
0,5
0,15
1,1
10,9
15,15
0,0
15,15
25,25
26,0
1,3
20,20
10,10
1,1
18,18
6,6
1,1
7,4
15,15
1,1
20,20
20,20
15,15
1,1
2,3
22,4
1,1
15,15
10,10
10,10
10,22
15,15
2,2
1,1
5,5
18,18
15,15
20,20
4,4
0,0
1,1
0,10
4,4
11,11
15,17
10,10
3,22
15,15
5,5
7,7
7,7
0,0
11,11
18,18
1,1
4,4
10,22
15,15
4,22
17,18
15,15
20,20
20,20
5,10
17,17
26,3
1,1
6,6
11,11
10,10
10,4
0,0
15,15
26,26
20,1
9,14
22,22
24,24
4,4
4,10
0,0
14,21
10,10
17,17
7,7
11,11
2,3
18,18
10,3
4,4
0,0
2,2
17,17
4,2
13,13
18,18
25,25
10,10
15,15
22,12
2,3
2,2
10,2
26,12
1,1
5,8
4,4
10,3
26,17
22,22
26,22
10,9
0,0
17,17
3,3
15,15
7,7
10,10
3,3
4,4
0,18
15,15
22,22
25,25
0,0
18,2
14,3
2,2
20,20
0,0
12,12
3,9
0,17
3,2
15,15
18,18
7,7
1,0
8,14
18,0
18,18
6,6
5,5
0,0
8,8
24,24
0,0
17,17
6,6
4,4
20,20
0,0
9,10
10,26
0,18
9,3
0,0
1,1
7,7
3,22
12,12
18,18
3,11
20,20
20,4
4,22
15,15
0,0
1,1
7,7
1,1
3,3
25,25
2,2
1,1
1,1
0,0
0,26
11,3
0,18
10,10
4,4
6,25
0,0
15,15
18,18
3,0
25,0
25,25
18,18
1,1
3,3
4,4
14,14
7,7
10,22
7,7
10,10
24,24
2,10
10,4
2,3
7,7
4,5
11,11
26,22
17,17
9,9
18,18
9,10
24,25
15,15
1,17
17,17
15,15
4,0
26,4
15,17
6,10
7,7
18,18
2,2
13,4
3,4
15,15
17,17
0,22
22,22
9,9
9,19
10,2
2,2
14,14
15,15
1,1
20,2
1,1
4,20
3,2
19,19
26,22
22,17
1,1
22,22
22,22
25,10
1,3
2,3
8,8
20,20
10,0
0,4
2,2
26,6
15,15
4,4
10,3
10,10
24,25
7,7
18,18
2,3
25,24
15,20
4,7
10,4
9,11
4,4
13,7
10,10
26,7
15,15
8,22
25,25
25,9
6,7
7,7
18,18
18,18
10,2
26,26
19,14
22,8
10,10
6,25
0,0
13,10
4,0
0,0
4,4
7,7
1,1
13,13
0,0
1,9
22,22
24,24
20,17
10,8
10,3
7,22
10,10
10,10
7,7
15,15
0,17
6,7
1,1
4,4
4,4
3,10
0,0
15,15
7,6
10,9
4,8
18,18
7,7
1,10
1,3
0,0
1,1
5,4
6,10
4,5
10,3
1,1
20,20
0,13
6,10
4,4
2,2
25,24
7,7
15,15
1,1
0,0
17,17
10,9
0,0
18,18
4,17
4,4
15,17
10,7
7,6
4,22
18,18
2,3
24,25
0,0
7,0
18,18
20,15
2,2
18,22
15,15
20,5
0,0
10,3
15,15
2,2
17,17
8,8
26,26
26,13
15,15
4,4
10,4
0,0
0,0
14,7
3,3
12,12
7,7
3,3
20,20
3,11
20,20
5,22
0,0
4,4
7,7
0,0
14,14
4,4
15,15
13,22
17,4
3,10
17,17
3,3
7,7
4,4
1,1
17,17
5,20
26,26
0,0
15,15
8,8
6,11
7,7
15,5
18,10
0,0
0,0
10,18
0,22
3,4
18,18
14,14
0,0
7,13
22,9
7,7
0,4
10,2
2,2
1,1
10,10
4,4
18,18
17,15
5,5
1,1
1,22
18,18
6,6
7,6
14,14
3,3
11,11
18,18
1,1
10,10
15,15
0,0
0,0
7,7
1,1
0,0
18,18
0,0
7,7
20,15
11,11
0,4
6,6
0,4
0,0
4,4
26,2
10,10
5,5
0,0
0,0
18,18
17,18
7,7
15,15
4,4
20,20
15,15
0,0
13,13
26,26
7,25
15,0
14,14
17,17
9,10
4,22
0,0
4,4
3,3
9,25
4,4
20,20
0,0
0,0
15,15
13,7
25,24
9,11
0,0
0,13
20,20
8,8
7,7
0,0
10,4
1,1
9,7
3,3
1,1
5,5
4,4
1,1
0,0
0,4
13,13
9,11
26,26
22,9
6,1
6,26
0,0
0,0
20,20
15,15
9,25
0,0
15,15
15,15
8,8
6,6
4,0
0,0
0,0
3,3
7,3
4,0
18,18
18,18
0,0
17,23
3,3
15,15
15,15
10,4
10,26
3,2
0,13
22,5
9,9
6,9
15,15
3,4
5,5
3,10
6,22
13,13
26,9
7,7
15,22
25,3
26,26
15,15
13,13
4,26
3,2
9,22
2,2
5,20
1,1
26,3
3,9
4,0
1,1
9,10
15,15
11,11
3,7
1,1
18,18
18,18
4,4
4,4
4,4
0,0
11,22
18,18
10,3
18,18
18,18
2,2
4,0
15,15
15,15
0,0
7,7
2,2
1,1
7,7
10,10
0,4
0,0
7,6
0,22
5,6
15,15
15,0
4,4
3,10
2,3
15,15
10,10
6,6
24,25
3,2
3,3
8,8
9,9
17,3
1,11
1,1
15,15
7,7
2,16
10,3
18,18
13,17
15,15
15,15
0,0
4,4
3,10
6,6
9,9
20,20
0,0
1,1
12,12
0,9
18,18
0,0
2,3
1,1
4,4
15,15
3,3
3,2
1,1
3,26
3,3
5,5
4,5
18,0
15,15
3,11
18,18
4,22
5,5
10,3
4,4
17,17
4,18
10,10
5,5
4,4
13,13
26,9
5,5
4,3
17,17
4,4
7,7
15,15
15,15
15,15
10,12
1,22
15,15
3,9
7,7
10,20
9,9
15,15
15,15
7,7
3,9
0,7
15,15
0,0
1,1
0,0
0,26
18,18
26,7
3,2
3,2
13,15
18,18
7,26
7,7
1,1
26,26
10,10
15,15
15,15
7,7
11,20
0,0
0,4
17,5
7,7
7,7
4,4
4,0
18,18
5,5
14,14
13,15
0,0
15,15
7,7
17,8
5,5
2,3
3,2
18,18
0,0
1,17
17,17
0,0
1,11
8,8
5,5
15,15
15,17
15,15
2,2
22,22
7,3
6,9
5,5
3,3
7,7
3,3
4,4
18,18
6,26
25,9
25,25
0,0
18,18
10,10
7,10
2,3
3,8
2,3
0,0
0,0
0,0
20,20
10,4
7,7
15,15
20,20
1,1
0,15
3,11
8,8
0,0
10,4
0,0
2,1
4,9
0,0
11,3
6,2
0,0
0,0
4,4
0,0
18,18
3,2
6,19
10,10
9,4
11,11
4,0
7,4
3,26
26,6
0,0
22,22
4,4
1,1
26,13
3,3
7,4
2,2
7,2
4,20
20,20
14,14
7,7
0,0
5,24
7,6
4,4
6,7
25,25
13,15
0,0
17,4
15,15
4,2
1,1
3,3
9,3
15,15
3,2
24,1
26,7
4,0
7,7
0,4
4,4
0,0
8,8
19,14
10,3
15,15
10,10
0,0
0,0
26,26
15,15
0,0
10,6
3,14
5,4
25,25
22,13
9,14
4,4
18,18
7,7
10,10
14,3
10,10
14,25
11,11
1,1
4,20
7,7
20,13
10,2
26,26
4,13
0,4
26,7
1,1
1,10
3,6
4,4
10,6
1,1
4,0
20,9
6,6
4,21
15,15
6,3
3,3
3,22
6,6
22,22
1,1
2,2
1,1
15,15
19,7
20,20
20,0
15,15
25,25
22,4
3,2
5,5
4,23
4,22
3,3
0,0
1,1
0,0
7,7
26,26
9,9
22,22
2,2
26,26
1,1
10,18
0,0
11,11
17,17
3,3
2,2
7,7
26,26
18,18
2,2
20,20
0,0
10,0
0,0
1,1
20,20
20,20
6,4
26,26
6,20
2,4
19,19
0,0
4,4
7,7
7,14
15,15
25,11
0,0
15,15
7,6
6,6
0,0
24,24
7,7
15,15
1,1
3,3
11,11
11,11
7,7
0,0
1,1
9,10
15,15
0,17
10,26
20,20
4,20
1,1
4,4
3,3
7,7
9,22
26,26
23,23
15,15
4,8
4,4
3,6
2,2
14,14
22,22
18,18
17,18
26,13
24,24
4,10
10,10
18,18
15,15
0,0
0,0
22,20
25,25
3,3
15,15
20,4
1,1
11,11
15,15
7,0
20,4
17,17
0,0
4,9
18,8
0,0
11,11
11,11
25,8
1,10
3,2
4,4
6,6
4,4
24,24
20,20
15,15
20,15
10,10
13,10
0,0
26,22
18,18
0,0
0,0
0,0
0,0
5,20
0,5
4,3
2,2
3,9
4,4
8,8
10,9
3,18
10,2
22,9
14,14
26,26
15,15
7,7
18,0
15,15
0,4
2,2
15,15
18,18
1,1
10,4
18,18
9,10
15,15
20,20
2,2
2,2
26,4
6,26
1,1
6,6
10,10
0,0
3,2
7,7
13,26
13,13
15,15
1,1
24,24
8,8
3,22
18,18
1,1
4,10
3,3
4,4
4,4
0,0
1,1
4,0
4,3
1,1
18,4
4,4
15,15
17,17
23,15
10,4
13,4
18,17
22,9
17,17
19,19
0,0
15,15
6,4
1,1
4,5
1,1
17,4
6,7
10,10
15,15
6,22
12,12
17,17
10,10
14,14
12,10
20,20
0,25
8,8
18,17
7,7
4,18
4,0
8,8
18,18
4,4
8,8
7,7
9,11
15,15
6,7
3,11
2,2
9,26
15,17
18,18
11,3
18,18
1,1
6,7
4,3
4,10
20,20
10,22
0,0
1,1
22,22
3,3
0,0
15,15
22,22
5,4
15,15
4,3
7,7
2,4
10,6
7,6
11,14
5,5
6,7
15,15
22,22
15,15
2,2
22,22
3,4
0,0
1,1
10,10
4,4
0,0
6,6
1,22
3,2
19,9
14,14
10,10
15,20
1,1
15,15
10,10
0,0
4,10
1,1
17,17
10,5
5,5
1,1
10,9
10,11
18,18
1,1
0,0
25,25
3,7
18,17
20,20
26,26
18,18
20,10
6,10
26,26
2,2
13,13
10,5
10,10
4,4
0,0
7,7
11,9
0,1
1,1
18,18
7,6
8,8
14,14
10,3
5,5
0,0
1,1
15,15
1,1
10,18
5,8
15,15
10,24
2,2
1,1
10,10
6,7
5,10
25,25
18,18
7,7
26,10
4,4
7,7
0,0
0,0
6,9
26,26
26,10
13,17
17,17
0,0
26,26
3,2
17,5
17,1
3,2
0,0
0,18
20,5
5,24
0,0
14,14
17,17
10,9
18,18
1,1
10,10
1,1
2,2
7,6
17,8
15,17
26,4
7,7
7,7
0,4
10,10
0,3
1,1
18,18
10,10
24,24
4,4
24,24
24,24
25,25
17,8
18,18
3,9
10,10
10,10
24,24
11,2
7,7
1,1
17,20
0,0
3,0
2,2
14,25
13,13
26,26
17,0
15,15
0,0
17,17
1,1
4,21
7,7
4,4
7,7
14,14
9,9
15,15
4,4
15,15
10,10
20,20
4,13
15,15
3,6
5,3
2,11
0,0
25,9
18,18
1,1
10,7
10,2
15,15
20,20
10,10
25,25
15,15
7,6
20,20
3,10
0,4
15,15
10,15
7,7
15,15
0,0
17,17
5,13
6,9
7,7
10,4
1,1
25,25
11,18
20,20
7,7
25,24
0,0
9,9
17,17
17,17
7,4
5,3
4,0
0,7
7,7
5,5
25,25
1,6
20,5
4,4
3,10
0,0
3,10
18,18
18,18
10,4
0,0
7,6
6,6
5,5
18,0
24,24
2,2
20,10
1,1
0,0
0,0
3,3
6,6
4,5
0,0
1,1
10,3
20,5
26,26
7,7
15,15
1,1
0,17
10,10
0,0
0,4
7,6
2,3
3,3
6,7
9,3
3,11
18,18
18,18
4,4
25,25
25,25
9,9
24,4
4,4
7,3
4,4
18,18
4,4
10,5
22,26
1,1
1,1
0,17
14,14
7,5
3,3
15,15
4,4
6,17
1,4
14,14
3,2
4,4
0,0
25,25
4,4
11,11
6,6
18,18
3,25
13,13
0,0
17,17
5,5
4,4
3,22
0,17
1,1
15,15
15,15
11,11
15,15
15,5
0,0
3,11
15,15
3,9
6,6
14,14
15,15
10,4
3,3
25,25
0,10
13,26
7,7
6,6
14,14
22,22
26,10
12,22
7,6
13,0
25,25
15,15
2,3
10,3
5,20
6,6
10,10
15,15
6,6
26,7
6,17
15,15
2,2
14,14
0,0
4,4
19,19
20,22
25,25
5,5
13,13
9,9
4,2
3,9
10,10
5,20
0,7
4,6
18,0
25,25
14,14
8,6
13,4
18,18
0,0
0,25
25,24
10,10
1,1
7,3
26,26
6,6
5,4
6,2
7,7
25,4
4,5
6,4
1,1
0,0
2,2
6,6
10,14
26,26
0,0
0,0
20,18
6,6
4,4
15,15
2,12
15,15
3,0
5,3
10,3
3,10
0,0
0,21
20,20
13,13
10,10
15,15
6,1
0,0
4,4
4,10
7,13
1,1
0,26
25,25
10,10
0,0
22,22
0,7
10,4
13,13
18,18
3,3
0,0
24,24
10,4
2,10
26,26
3,2
4,5
15,17
14,14
3,3
0,0
13,17
22,26
1,18
13,15
7,25
22,0
24,7
20,4
0,13
0,0
3,2
20,20
2,2
15,15
14,14
20,20
3,2
18,18
5,5
1,1
2,2
3,26
0,0
11,11
4,4
26,26
1,1
18,3
4,18
3,3
0,0
9,1
12,12
18,18
9,9
7,6
3,10
6,10
0,0
4,3
7,7
14,14
26,4
18,18
14,14
7,7
7,7
0,0
6,6
0,0
1,1
7,7
4,13
15,15
4,3
2,2
17,17
3,7
1,1
20,20
10,25
20,20
17,17
0,0
3,15
24,25
20,0
6,10
9,9
10,2
4,6
3,9
9,8
0,0
15,15
22,6
20,20
9,9
7,4
14,14
6,6
25,26
11,11
17,20
3,25
10,10
0,0
17,17
24,24
14,14
1,1
9,9
14,14
0,6
0,0
15,15
14,14
10,10
17,17
1,1
2,2
2,11
9,10
18,18
26,4
25,25
26,26
0,0
3,3
1,1
3,3
3,12
26,3
17,17
10,4
13,13
7,7
22,4
15,15
1,1
1,1
3,26
15,15
3,9
6,6
20,8
0,0
26,26
13,26
20,20
2,3
13,1
24,24
10,10
11,10
4,4
26,14
18,18
25,3
13,13
14,10
3,5
1,1
0,4
17,17
15,15
0,0
3,3
0,0
26,6
15,15
15,15
17,0
7,7
1,1
20,20
15,15
0,4
8,20
4,4
15,15
20,20
9,11
4,4
7,3
6,6
2,2
1,1
1,1
4,4
5,5
2,3
8,13
15,15
25,4
1,22
8,8
7,7
10,22
0,0
0,0
1,1
6,4
12,3
7,18
1,1
2,26
0,0
18,0
6,25
7,11
3,4
25,25
8,8
2,3
15,15
6,6
14,14
18,18
25,9
18,0
14,14
15,15
22,4
11,22
25,25
26,26
3,12
10,12
0,0
18,18
5,5
17,18
25,25
15,15
6,4
0,0
15,15
18,18
10,10
25,3
17,17
0,0
10,9
4,4
1,1
13,13
0,0
3,3
3,3
2,3
11,11
5,9
0,0
4,5
7,6
20,5
3,3
22,4
10,10
3,3
17,20
7,6
0,0
7,7
18,18
6,6
18,18
13,20
0,1
25,25
25,25
25,25
0,0
2,3
0,0
15,15
5,5
4,4
26,2
10,25
3,3
0,0
4,13
25,24
0,0
1,1
15,15
4,4
7,7
2,2
18,18
13,13
0,0
10,6
7,7
4,4
4,4
1,1
11,11
9,9
0,0
15,15
7,7
6,0
0,0
25,25
3,1
0,0
4,21
5,5
26,6
9,9
9,10
7,7
7,7
26,26
10,10
10,10
15,15
10,4
0,26
3,2
1,1
0,0
6,6
25,25
18,0
4,4
3,0
13,4
20,20
4,4
0,0
1,1
6,6
7,7
4,3
26,26
0,0
25,25
10,10
0,0
18,18
3,3
15,15
4,7
3,3
22,22
20,20
14,10
25,9
2,3
17,4
0,0
4,4
3,2
1,1
0,0
10,10
25,25
25,25
11,11
8,3
25,25
4,0
4,22
5,5
13,8
0,0
5,5
8,8
4,4
15,15
0,15
6,9
13,13
3,3
10,10
20,20
0,5
1,1
7,6
7,7
4,4
9,10
8,8
2,2
0,0
7,7
3,3
0,0
20,9
22,4
18,18
0,26
4,22
25,9
15,0
20,8
15,15
14,3
9,9
3,3
18,18
15,15
15,15
4,4
17,0
